sportnik,drzava,kvota
Giacomo Nizzolo,ITA,101.00
Sacha Modolo,ITA,101.00
Sam Bennett,IRL,301.00
Philippe Gilbert,BEL,301.00
Chris Froome,GBR,2.20
Nairo Quintana,COL,3.30
Alberto Contador,ESP,5.75
Fabio Aru,ITA,13.00
Vincenzo Nibali,ITA,21.00
Richie Porte,AUS,26.00
Tejay Van Garderen,USA,26.00
Tom Dumoulin,NED,34.00
Mikel Landa Meana,ESP,34.00
Thibaut Pinot,FRA,34.00
Alejandro Valverde,ESP,51.00
Warren Barguil,FRA,51.00
Bauke Mollema,NED,67.00
Rigoberto Uran,COL,67.00
Serge Pauwels,BEL,67.00
Tanel Kangert,EST,67.00
Mathias Frank,SUI,101.00
Adam Yates,GBR,101.00
Jan Bakelants,BEL,101.00
Wilco Kelderman,NED,101.00
Bob Jungels,LUX,101.00
Daniel Martin,IRL,101.00
Pierre Rolland,FRA,101.00
Geraint Thomas,GBR,101.00
Alexandre Geniez,FRA,201.00
Jan Barta,CZE,301.00
Thomas Voeckler,FRA,301.00
Thomas De Gendt,BEL,301.00
Tony Martin,GER,3.10
Tom Dumoulin,NED,3.75
Chris Froome,GBR,6.00
Vasil Kiryienka,BLR,7.00
Rohan Dennis,AUS,8.00
Adriano Malori,ITA,21.00
Taylor Phinney,USA,21.00
Rigoberto Uran,COL,26.00
Jonathan Castroviejo Nicolas,ESP,26.00
Jerome Coppel,FRA,26.00
Alex Dowsett,GBR,34.00
Nelson Oliveira,POR,34.00
Maciej Bodnar,POL,51.00
Matthias Brandle,AUT,51.00
Wilco Kelderman,NED,51.00
Jan Barta,CZE,51.00
Luke Durbridge,AUS,67.00
Ilnur Zakarin,RUS,67.00
