sportnik,drzava,kvota
Hideki Matsuyama,JPN,41.00
Sergio Garcia,ESP,41.00
Louis Oosthuizen,RSA,41.00
Matt Kuchar,USA,51.00
Phil Mickelson,USA,51.00
Martin Kaymer,GER,51.00
Branden Grace,RSA,51.00
Brandt Snedeker,USA,51.00
Zach Johnson,USA,67.00
Patrick Reed,USA,67.00
Charl Schwartzel,RSA,67.00
Jim Furyk,USA,67.00
Justin Thomas,USA,67.00
Robert Streb,USA,81.00
Billy Horschel,USA,81.00
Jimmy Walker,USA,81.00
Paul Casey,ENG,81.00
David Lingmerth,SWE,101.00
Keegan Bradley,USA,101.00
Luke Donald,ENG,101.00
Danny Willett,ENG,101.00
Graeme McDowell,NIR,101.00
Jason Dufner,USA,101.00
Webb Simpson,USA,101.00
Danny Lee,NZL,101.00
Hunter Mahan,USA,126.00
Marc Leishman,AUS,126.00
J.B. Holmes,USA,126.00
Ian Poulter,ENG,126.00
Tony Finau,USA,126.00
Lee Westwood,ENG,126.00
Ryan Palmer,USA,126.00
Bill Haas,USA,126.00
Victor Dubuisson,FRA,126.00
Brendan Steele,USA,151.00
Padraig Harrington,IRL,151.00
Jordan Spieth,USA,2.50
Rory McIlroy,NIR,6.00
Jason Day,AUS,6.50
Rickie Fowler,USA,15.00
Bubba Watson,USA,21.00
Patrick Reed,USA,23.00
Kevin Kisner,USA,23.00
Dustin Johnson,USA,26.00
Justin Rose,ENG,31.00
Henrik Stenson,SWE,31.00
Brooks Koepka,USA,31.00
Brandt Snedeker,USA,41.00
Justin Thomas,USA,51.00
Hideki Matsuyama,JPN,67.00
Russell Knox,SCO,67.00
Adam Scott,AUS,67.00
Paul Casey,ENG,81.00
Kevin Na,USA,81.00
Jim Furyk,USA,81.00
Louis Oosthuizen,RSA,101.00
Sergio Garcia,ESP,101.00
Jason Bohn,USA,101.00
Jimmy Walker,USA,101.00
Zach Johnson,USA,101.00
Daniel Berger,USA,101.00
Phil Mickelson,USA,126.00
Billy Horschel,USA,126.00
Hunter Mahan,USA,126.00
Matt Kuchar,USA,126.00
Tiger Woods,USA,126.00
Keegan Bradley,USA,151.00
Jason Dufner,USA,151.00
Emiliano Grillo,ARG,151.00
