sportnik,drzava,kvota
Irene Curtoni,ITA,67.00
Marta Bassino,ITA,101.00
Manuela Moelgg,ITA,101.00
Francesca Marsaglia,ITA,101.00
Sofia Goggia,ITA,151.00
Wendy Holdener,SUI,151.00
Carmen Thalmann,AUT,151.00
Ragnhild Mowinckel,NOR,151.00
Elena Curtoni,ITA,151.00
Marie-Pier Prefontaine,CAN,151.00
Taina Barioz,FRA,151.00
Adeline Baud,FRA,201.00
Marie-Michele Gagnon,CAN,201.00
Henrik Kristoffersen,NOR,2.00
Marcel Hirscher,AUT,2.75
Felix Neureuther,GER,11.00
Alexander Khoroshilov,RUS,13.00
Alexis Pinturault,FRA,17.00
Fritz Dopfer,GER,21.00
Stefano Gross,ITA,26.00
Giuliano Razzoli,ITA,41.00
Julien Lizeroux,FRA,51.00
Daniel Yule,SUI,51.00
Mattias Hargin,SWE,67.00
Jean-Baptiste Grange,FRA,67.00
Manuel Feller,AUT,67.00
Sebastian Foss-Solevaag,NOR,67.00
David Chodounsky,USA,81.00
Marco Schwarz,AUT,81.00
Manfred Moelgg,ITA,81.00
Henrik Kristoffersen,NOR,2.00
Marcel Hirscher,AUT,2.75
Henrik Kristoffersen,NOR,2.00
Marcel Hirscher,AUT,2.75
Felix Neureuther,GER,11.00
Alexander Khoroshilov,RUS,13.00
Alexis Pinturault,FRA,17.00
Fritz Dopfer,GER,21.00
Stefano Gross,ITA,26.00
Giuliano Razzoli,ITA,41.00
Julien Lizeroux,FRA,51.00
Daniel Yule,SUI,51.00
Sebastian Foss-Solevaag,NOR,67.00
Manuel Feller,AUT,67.00
Mattias Hargin,SWE,67.00
Jean-Baptiste Grange,FRA,67.00
David Chodounsky,USA,81.00
Marco Schwarz,AUT,81.00
Manfred Moelgg,ITA,81.00
Andre Myhrer,SWE,101.00
Luca Aerni,SUI,101.00
Victor Muffat Jeandet,FRA,101.00
Riccardo Tonetti,ITA,151.00
Ramon Zenhaeusern,SUI,151.00
Patrick Thaler,ITA,151.00
Marc Digruber,AUT,151.00
Jens Byggmark,SWE,201.00
Sebastien Ogier,FRA/Volkswagen,1.20
Jari-Matti Latvala,FIN/Volkswagen,6.00
Andreas Mikkelsen,NOR/Volkswagen,15.00
Mads Ostberg,NOR/Ford,15.00
Thierry Neuville,BEL/Hyundai,23.00
Hayden Paddon,NZL/Hyundai,29.00
Eric Camilli,FRA/Ford,34.00
Dani Sordo,ESP/Hyundai,34.00
Ott Tanak,EST/Ford,101.00
Verona,U19,1.40
Perugia,U19,5.50
Verona,U19,1.40
Perugia,U19,5.50
Inter Milan,U19,2.00
AC Chievo Verona,U19,3.00
SSC Napoli,U19,2.90
Us Citta di Palermo,U19,2.10
Genoa,U19,1.75
Pro Vercelli,U19,3.80
Lazio,U19,1.72
Pescara,U19,3.75
Levadeiakos,U20,3.60
Iraklis Thessaloniki FC,U20,1.80
Asteras Tripolis,U20,1.45
Kalloni,U20,5.00
Thai Binh,U19,3.10
Quang Ninh,U19,2.00
SK Sigma Olomouc,B,5.75
MO Bejaia,U21,1.60
RC Arba,U21,4.75
Avai-SC,U19,2.70
Ituano,U19,2.20
Fidelis Andria,U19,1.45
Casertana,U19,5.00
Santarcangelo,U19,3.60
Ancona 1905,U19,1.80
Thailand,U23,7.00
Japan,U23,1.30
Peter Prevc,SLO,1.55
Kenneth Gangnes,NOR,4.50
Stefan Kraft,AUT,5.75
Johann A. Forfang,NOR,9.00
Noriaki Kasai,JPN,15.00
Anders Fannemel,NOR,26.00
Severin Freund,GER,34.00
Robert Kranjec,SLO,251.00
Jurij Tepes,SLO,251.00
Richard Freitag,GER,251.00
Anze Lanisek,SLO,251.00
Hillary Clinton,Dem,1.85
Donald Trump,Rep,4.50
Marco Rubio,Rep,6.50
Bernie Sanders,Dem,7.00
Ted Cruz,Rep,10.00
Jeb Bush,Rep,23.00
Chris Christie,Rep,51.00
